SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
Wave (1856),,,Schooner,,,~ 1856,1856,,,Delaware Breakwater,,,Sank,,,,,,,,Snow Hill MD,,Indian River,,,,,,,,,Y,Y,N,
Whitehall,,,Brig,,,12/23/1856,1856,12,23,Barnegat N,,,Foundered in storm,,,,,,,,,"Cardenas, Mexico","New York, NY",,,,,,,,,Y,Y,N,Taken in tow but released
William Brown,,,Schooner,,,8/18/1856,1856,8,18,Egg Harbor bar,,,Stranded,,,,,,,,,,"Georgetown, DC",,,,,,,,,Y,Y,N,Total loss
Abby Whitman,,,Schooner,1854,"Boston, MA",1/21/1855,1855,1,21,Little Egg Harbor,,,Grounded,Wood,US,,,,235,235,"Boston, MA","Savannah, GA","Philadelphia, PA",,,,,,,,,,,N,
Adrian ,,,Schooner,,,5/12/1855,1855,5,12,Delaware Bay,,,"Collision w/ ""Keystone State""",,,,,,,,,"Philadelphia, PA","Fall River, MA",,5,0,2,,,Coal,,Y,Y,N,Sank in 15 minutes
Alaric,,,Sloop,,,1/25/1855,1855,1,25,,,,Stranded; Leaking,,,,,,,,,"Wilmington, NC","New York, NY",,,,,,,,,,,N,
Amelia P Starkey,,Kelly et al,Schooner,1853,"Essex, MA",5/9/1855,1855,5,9,Highlands E 8 mi,,,Dismasted,,,,,9,96,,,,,,,,,,,,,N,N,N,
America (1855),,,Tug steam,,,2/1855,1855,2,,Cape May,,,In distress,,,,,,,,,,,,,,,,,,,,,N,Caught in ice
America (1866),,,Steamship,,"Hoboken, NJ",10/5/1866,1855,10,5,Barnegat Shoal,,,Stranded,,US,,,,,,,"Wilmington, DE","New York, NY",Ready,20,,0,,,Cotten,,,,N,
Bird,,,Sidewheel steam,1850,,12/1/1855,1855,12,1,"Red Bank, NJ",,,"Collision w/ ""Palmetto""",,,,,,50,,,,,,,,,,,,,,,N,
Boston,,,Schooner,,,4/20/1855,1855,4,20,Cold Spring Bar,,,Stranded,,,,,,,,,"Philadelphia, PA","Boston, MA",,,,,,,,,Y,Y,N,Total loss
Catharine,,,Schooner,,,3/21/1855,1855,3,21,Cape May,,,"Collision w/ ""Sarah""",,,,,,,,,,,,,,,,,,,Y,Y,N,Sank; Total loss
Colonel James Page,,,Schooner,,,3/18/1855,1855,3,18,Corsons Inlet,39.20224,-74.63715,Wrecked,,,,, ,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",,5,,,,,Coal,,A,Y,N,Total loss
Columbus (1855),,,Schooner,,,7/21/1855,1855,7,21,Deal Beach,,,Stranded,,,,,,,,,"Plymouth, NC","New York, NY",,,,,,,,,Y,Y,N,Total loss
Commerce (1855),,,Brig,,,2/1855,1855,2,,Sandy Hook,,,Stranded,,,,,,,,,"Philadelphia, PA","Providence, RI",,,,,,,,,,,N,
Cora (1855),,,Schooner,,,4/1855,1855,4,,Cape May Light,,,Grounded,,,,,,,,,"Philadelphia, PA","Roxbury, MA",,,,,,,,,,,N,
Cora A Lindsey,,,Schooner,,,1/21/1855,1855,1,21,Squan Inlet S 6.5 mi,,,Stranded,,,,,,,,,"New Bern, NC","New York, NY",Day,,,0,,,Terpentine; reson,,Y,Y,N,Total loss
Deborah,,,Schooner,,,1/21/1855,1855,1,21,Absecon,,,Struck a rock,,US,,,,,,,"Washington, DC","New York, NY",,,,,,,,,,,N,
Dispatch,,,Schooner,,,12/19/1855,1855,12,19,Squan Inlet S 5 mi,40.02975,-74.04901,Grounded,,,,,,,,,"New York, NY","Philadelphia, PA",,,,,,,,Mantaloking #11,A,Y,N,Total loss
Duncan,,,Brig,,,4/2/1855,1855,4,2,Cape May,,,Foundered in gale,,,,,,,,"Philadelphia, PA","Philadelphia, PA","Bath, ME",,,,,,,,,Y,Y,N,All hands lost
Edward (1855),,,Schooner,,,10/15/1855,1855,10,15,Barnegat,,,Grounded,,,,,,,,,"Eastport, ME","Philadelphia, PA",,,,,,,,,,,N ,
Elmira (1855),,,Brig,,,12/7/1855,1855,12,7,Absecon Inlet,,,Collision,,,,,,,,,"Philadelphia, PA","Boston, MA",,,,,,,,,N,N,N,Damaged
Empire (1855),,,,,,2/24/1855,1855,2,24,Sandy Hook,,,Stranded,,,,,,,,,"New York, NY","Liverpool, England",,,,,,,,,N,N,N ,Refloated
Enoch French,,,Schooner,,,1/1/1855,1855,1,1,"Long Branch, NJ",,,Stranded,,,,,,,,"Fall River, MA",,,,,,,,,,,,,N,
F J Brognard,,Corwin,Schooner,1846,"Mays Landing, NJ",4/1855,1855,4,,Little Egg Harbor,,,Collision,,,,,10,160,,"Mays Landing, NJ",,,,,,,,,,,N,N,N,Towed to New York
Greenmay,,,Schooner,,,3/1855,1855,3,,Barnegat,,,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",,,,,,,,,,,N,
Hendrick Hudson (1855),,,Packet ship,1841,,3/12/1855,1855,3,12,New Jersey coast,,,Foundered in hurricane,,,,,,824,,,"New York, NY","London, England",William B Smith, ,,2,,,,,Y,Y,N,Total loss
Henrico,,,Schooner,,,12/31/1855,1855,12,31,Barnegat Shoal,,,Stranded,,,,,,,,,"New York, NY","Richmond, VA",,,,,,,,,,,N ,
Howling Wind,,,Bark,,,1/19/1855,1855,1,19,New Jersey coast,,,Abandoned - Waterlogged,,,,,,,,,"Philadelphia, PA","Londonderry, NH",,,,,,,Corn,,Y,Y,N,Total loss
Humboldt,Humbolt,,Brig,,,2/16/1855,1855,2,16,Squan Beach S 5 mi,,,Stranded,,,,,,,,"Boston, MA","Port-au-Prince, Haiti","New York, NY",,,,,,,Logwood,,,,N,
J H Chadbourne,,,Schooner,,,2/26/1855,1855,2,26,Absecon bar,,,Grounded,,,,,,,,,"Wilmington, NC","Boston, MA",,,,,,,,,,,N,
J R Curdy,,,Schooner,,,3/19/1855,1855,3,19,Lower New York Bay,,,Collision in gale,,,,,,,,,,,,,,,,,,,Y,Y,N,Total loss; crew lost
John Farnum,,,Bark,,,2/7/1855,1855,2,7,Squan Inlet S .7 mi,,,Grounded,,,,,,,,,"Havana, Cuba","New York, NY",,12,,,,,,,,,N,
Josephine (1855),,,Schooner,,,1/1/1855,1855,1,1,Absecon Beach,,,Grounded,,,,,,,,,Tangier,"Boston, MA",,,,0,,,,,,,N,
Judge Baker (1855),,,Schooner,1845,,10/21/1855,1855,10,21,Squan Inlet S 1 mi,40.08726,-74.03626,Foundered,,,,,,,,,,,Bogart,5,,5,,,Logwood,,A,Y,N,Crew lost
M E Pharo,,,Schooner,,,4/11/1855,1855,4,11,Barnegat,,,"Collision w/ ""William Smith""",,,,,,,,"Tuckerton, NJ",,,,,,0,,,,,Y,Y,N,Total loss
Manchester (1855),,,Schooner,,,5/8/1855,1855,5,8,"Hereford Inlet, NJ",,,Stranded,,,,,,,240,,"Richmond, VA","New York, NY",,,,,,,,,,,N,
Maria (1855),,,Brig,,,3/13/1855,1855,3,13,Absecon Beach,39.35074,-74.42509,Stranded,,England,,,,,,"London, England","Messina, Sicily","New York, NY",,10,,2,,,Oranges,,A,Y,N,Total loss
Maria Jewell,,,Schooner,,,2/14/1855,1855,2,14,Deal Lake N .1 mi,,,Grounded burned,,,,,,,,,"Gonaives, Haiti","New York, NY",Penny,7,,0,,,Logwood & coffee,,Y,Y,N,#105697
Mary Elizabeth,,,,,,1/1/1855,1855,1,1,Barnegat Shoal,,,Stranded,,,,,,,,,"New York, NY",Cape Haytien,,,,,,,,,N,N,N,Refloated
Matilda Ann Thompson,,,Schooner,,,3/1855,1855,3,,New Jersey coast,,,Abandoned,,,,,,,,"Camden, NJ","New York, NY","Philadelphia, PA",Parker,5,,0,,,,,Y,Y,N,Sank
Merak,,,Schooner,,,5/1855,1855,5,,Delaware Capes,,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,,,,,,,,Y,Y,N,Total loss
Nereid,,,Schooner,,,12/24/1855,1855,12,24,Little Egg Harbor,,,Grounded; lost main mast,,,,,,,,,"New York, NY","Philadelphia, PA",,,,,,,,,N,N,N,
Pacific (1855),,,Bark,,,11/2/1855,1855,11,2,Barnegat,,,Collision,,,,,,,,,"New York, NY","Cienfuegos, Cuba",,,,,,,,,,,N,
Robert Morris,,,Schooner,,,5/1/1855,1855,5,1,Schuykill River entrance,,,Collision with ice,,,,,,,,,"Lewes, DE","Philadelphia, PA",,,,,,,,,Y,Y,N,"In tow of Steam tug ""Spy""; Sank"
Seaman's Friend,,,,,,1855,1855,,,Absecon Beach,,,Capsized,,,,,,,,,,,,,,,,,,,Y,Y,N,All hands lost; Total loss
Shibboleth,,,Brig,,,3/13/1855,1855,3,13,New Jersey coast,,,Leaking; Abandoned,,,,,,,,"Richmond, VA","Philadelphia, PA","Boston, MA",Adams,,,,,,,,Y,Y,N,"Crew saved by ""Albert Mason"""
Sophronia,,,Schooner,,,12/8/1855,1855,12,8,Barnegat,,,Damaged in gale,,,,,,,,Virginia,,"Newport, RI",Van Name,,,,,,Wood,,N,N,N,
Telos,,,Brig,,,10/14/1855,1855,10,14,Barnegat,,,Abandoned,,,,,,,,,"Philadelphia, PA","Boston, MA",,,,,,,,,Y,Y,N ,
Thomas J Beckett,,,,,,1/21/1855,1855,1,21,Absecon Beach,,,Grounded,,,,,,,,,North Carolina,"New York, NY",,,,,,,,,,,N,
Titan,,,Tug sidewheel ,1852,"New York, NY",9/8/1855,1855,9,8,Squan Inlet S 5.5 mi,,,Stranded,,,,,,512,,"New York, NY","New York, NY",Phoenix Island,Brown,,,,,,,,Y,Y,N,Total loss
Trader,,,Schooner,,,4/1/1855,1855,4,1,Egg Harbor,,,"Collision w/ ""James Adger""",,,,,,,,,St Marys,"New York, NY",,,,,,,,,Y,Y,N,Total loss
W G Hagstaff  #3,,,Pilot boat,1841,,~ 1855,1855,,,Sandy Hook,,,Collision,,,,,,,,,,,,,,,,,,,,,N,
W M Foster,,,Schooner,,,7/18/1855,1855,7,18,New Jersey coast,,,Stranded,,,,,,,,,"Alexandria, VA","Boston, MA",,,,,,,,,,,N,
White Squall,,Cumberland Coal Co,Schooner,1852,"Newburgh, NY",2/27/1855,1855,2,27,Sandy Hook Romer Shoal,,,Grounded,Wood,,,,9,250,,"New York, NY","Baltimore, MD","New York, NY",Smith,,,,,,,,,,N,
William Henry,,,Schooner,,,1/1/1855,1855,1,1,Sandy Hook E 35 mi,,,Leaking; Abandoned,,,,,,,,,,,,,,,,,,,N,N,N,Taken in tow
William P Williams,,,Schooner,,,1/1855,1855,1,,Sandy Hook East Beacon,,,Stranded,,,,,,,,"Norfolk, VA",,,,,,,,,,,Y,Y,N,Total loss
Woodruff,,Mason,Schooner,1854,"Bridgeton, NJ",11/29/1855,1855,11,29,Sandy Hook,,,Damaged in gale,,,,,10,262,,"Bridgeton, NJ","Boston, MA","Philadelphia, PA",Nelson,,,,,,,,N,N,N,Lost some sails
Amelia (1864),,,Bark,,,4/10/1864,1854,4,10,Long Beach Island,,,Grounded,,England,,,,,,,"Demerara, British Guiana","New York, NY",Jenkins,,,,,,"Brandy, molasses",,Y,Y,N,
"Chauncey Jerome, Jr",,Eagle & Hazard,Passenger liner,1852,"East Haddam, CT",1/12/1854,1854,1,12,Long Branch N,,,Stranded in fog,Wood,US,,,,1150,,"New York, NY","Liverpool, England","New York, NY",Cone,,100,0,,,General,,N,N,N,"Ship refloated; Pass., crew & cargo saved"
Condor,,,Bark,,,9/11/1854,1854,9,11,Highlands E 20 mi,40.35000,-73.50000,Leaking badly,,,,,,,,,"Philadelphia, PA","Boston, MA",,,,,,,Coal,,A,,N,
Coriolan,Coriolon,,Bark,1849,"Bremen, Germany",5/18/1854,1854,5,18,Squan Inlet S 3 mi,,,Stranded in fog,Wood,Germany,,,,560,,"Bremen, Germany","Bremen, Germany","New York, NY",H Woulf,,245,0,,,Passengers & assorted cargo,,N,N,N,Refloated; no damage
Delaware (1854),,,Steamship,,,4/14/1854,1854,4,14,Squan Inlet,,,Wrecked,,,,,,,,,,,,15,,,,,,,,,N,
Eliza Ann,,,Brig,,,12/1854,1854,12,,"Long Branch, NJ",,,Stranded,,,,,,,,,,,,,,,,,,,,,N,
Fawn (1854),,,Brig,,,4/1/1854,1854,4,1,Squan Inlet N 2 mi,,,Stranded,Wood,US,,,,,,"Portland, ME",St Domingo,"New York, NY",,,,0,,,1900 bags coffee,,,,N,
George H Schott,George H Scott,,Schooner,,,2/20/1854,1854,2,20,Barnegat Shoal,,,Cast away during snow storm,,,,,,,,"Fredericksburg, VA",,,,8,,8,,,,,,,N,
Golden Cloud,,,Schooner,,,1/25/1854,1854,1,25,Sandy Hook,,,Stranded,,,,,,,,,,,,,,,,,Lime,N,N,N,N,Ship & cargo saved
Helen Maud,,,Schooner,,,~ 1854,1854,,,Long Beach Island,,,Grounded,,,,,,,,,,,,,,,,,,,Y,Y,N,Broke up; crew found starving
Henry (1854),,,Schooner,,,12/17/1854,1854,12,17,Sandy Hook,,,Stranded,,,,,,,,,"Norfolk, VA","Providence, RI",,,,,,,,,N,N,N ,Refloated; put into New York
Jewess,,,Sidewheel steam,1839,"Baltimore, MD",11/11/1854,1854,11,11,Barnegat Beach,,,Stranded,,,,,,352,,,"Havana, Cuba","New York, NY",J J Wright,15,,0,,,,,Y,Y,N,Total loss
John C Wells,,,Schooner,,,1/1854,1854,1,,Cape May,,,Collision w/ unknown schooner,,,,,,,,,"New York, NY","Philadelphia, PA",,,,,,,,,,,N,
John G Faxon,,,Schooner,,,11/18/1854,1854,11,18,Sandy Hook E 75 mi,,,Abandoned,,,,,,,,"Newburyport, MA","Philadelphia, PA","Newburyport, MA",,,,0,,,,,Y,Y,N,Sank; Total loss
John Q Adams,,,Schooner,,,2/26/1854,1854,2,26,Little Egg Harbor bar,,,Grounded,,,,,,,,,"Fredericksburg, VA","Boston, MA",,,,,,,,,Y,Y,N,Total loss
Leader (1854),,,Sloop,,,10/4/1854,1854,10,4,Sandy Hook Horseshooe Cove,,,Explosion after fire,,,,,,,,,"New York, NY","Shrewsbury, NJ",,,,0,,,Limes and 3 kegs powder,,,,N,
Manhattan (1854),,H L Fields,Schooner,,,4/16/1854,1854,4,16,Surf City,39.65395,-74.16880,Stranded in storm,Wood,US,,,,,,"Bangor, ME","Philadelphia, PA","Bangor, ME",H S Field,9,,8,,,Coal,,A,Y,N,Total loss
Martin Van Buren,,,Brig,,,11/11/1854,1854,11,11,Pecks Beach,39.24071,-74.61426,Grounded,,,,,,200,,"Surrey, BC Canada",,,,10,,0,,,Lumber,,A,Y,N,Ship lost; Crew & cargo saved
May Queen,,,Sidewheel steam,1852,,8/16/1854,1854,8,16,"Cedar Grove, NJ",,,Burned,,,,,,349,,,,,,,,,,,,,,,N,
Montezuma,,Black Ball Line,Packet ship,1843,"New York, NY",5/18/1854,1854,5,18,"Jones Beach, LI",,,Stranded,Wood,US,162,35.8,21,924,,"New York, NY","Liverpool, England","New York, NY",DeCourcey,,400,0,,,,,N,N,Y,
Moses H Grinnell (1854),,,Pilot boat,,,12/21/1854,1854,10,21,Sandy Hook,,,Stranded,,,,,,90,,,,,,,,,,,,,,,N,
New Era (1854),,Hitchcock & Co,Passenger liner,1854,"Bath, ME",11/13/1854,1854,11,13,Deal Beach,40.22222,-73.99444,Stranded in heavy seas & fog,,US,,,,1328,,"Bath, ME","Bremerhaven, Ger","New York, NY",Thomas J Henry,29,397,220,,,"Chalk, gen merchandise",,A,Y,Y,Total loss; 46 died of cholera en route
Nicholas Biddle,,,Schooner,,,12/23/1854,1854,12,23,"Long Branch, NJ",,,Stranded,,,,,,,,,"Stamford, CT","York River, VA",Sprag,,,,,,,,Y,Y,N,Total loss
Nile (1854),,,Schooner,,,9/11/1854,1854,9,11,Sandy Hook SE 70 mi,,,,,,,,,,,"Kennebunk, ME","Philadelphia, PA","Gardiner, ME",Ellis,4,,0,,,,,Y,Y,N,"Crew rescued by ""Beethoven"""
Orb,,,Schooner,,,11/22/1854,1854,11,22,,,,"Collision w/ ""Charlotte E Tay""",,,,,,,,"Philadelphia, PA","Philadelphia, PA","Boston, MA",,,,0,,,,,Y,Y,N,Sunk; Total loss
Orestes,,,Brig,,,11/24/1854,1854,11,24,Egg Harbor,,,Stranded,,England,,,,,,,"Turks Is., West Indies","New York, NY",,,,,,,Salt,,Y,Y,N,Sank
Pedroga,,,Brig,,,11/16/1854,1854,11,16,Absecon Inlet South bar,,,Stranded,,,,,,,,"New York, NY",,,James Burns,,,,,,Logwood & sponges,,Y,Y,N,Went to pieces
Phantom (1854),,,Medium clipper,1852,"Medford, MA",2/14/1854,1854,2,14,Sandy Hook Flynn Knoll,,,Stranded,,,195,37,21.6,1174,,,"Rio de Janiero, Brazil","New York, NY",Hallet, ,,,,,Guano,,N,N,N,Refloated
Powhatan (1854),Powhattan,William Graham,Packet ship,1837,"Baltimore, MD",4/16/1854,1854,4,16,"Surf City, NJ",39.65967,-74.16305,Stranded in blinding snowstorm,Wood,US,132.9,31.7,15.9,598,,"Baltimore, MD","Havre, France","New York, NY",James Meyers,29,311,340,"$18,000",,General from France and Germany,,A,Y,Y,Total loss
Robert F Stockton,,,Schooner,,,1/2/1854,1854,1,2,,,,"Abandoned, dismasted, disabled",,,,,,,,"Brunswick, NJ","Long Island, NY","Brunswick, NJ",Hynes,,,,,,,,Y,Y,N,"Crew rescued by ""Chile"""
S J Roberts,,Dutch,Bark,1852,"Prospect, ME",2/22/1854,1854,2,22,Absecon Inlet South bar,,,Grounded in storm,,,,,13,298,,"Providence, RI","Marseilles, France","Providence, RI",Dutch,,,,,,,,Y,Y,N,Total loss
Samuel R Paynter,,,Schooner,,,1/1854,1854,1,,Cape May Court House,,,Stem is cut,,,,,,,,,,,,,,,,,,,Y,Y,N,All hands lost; Total loss
Sarah Brown,,,Brig,,,5/17/1854,1854,5,17,Sandy Hook E 70 mi,,,"Collision w/ ""W M Tapscott""",,,,,,,,,"New York, NY","Gottenburg, Germany",Abbott,,,0,,,,,Y,Y,N,Total loss
St Patrick,,David Ogden,Packet ship,1844,"Newburyport, ME",12/19/1854,1854,12,19,Barnegat Inlet S 2 mi,39.73188,-74.11564,Stranded,Wood,US,,,,1149,,,"Liverpool, England","New York, NY",Stephen Whitman,10,400,0,"$45,000",,Iron; general,,A,Y,N,Total loss
Thomas B Hawkins,,,Sloop,,,10/15/1854,1854,10,15,Barnegat,,,Foundered,,,,,,,,"Brookhaven, NY","Philadelphia, PA","Portsmouth, VA",Davis,,,0,,,,,Y,Y,N,"Total loss; Crew rescued by ""Jane N Baker"""
Thomas Corwin,,,Bark,,,9/10/1854,1854,9,10,,39.16666,-74.00000,Stranded,,,,,,,,,"Cape Haytien, DE","New York, NY",,,,,,,,,N,N,N,Lost deck load & some sails
Typee,,,Brig,,,~1854,1854,,,Absecon,,,Stranded,,,,,,,,,"Eastport, NY","Philadelphia, PA",,,,,,,,,Y,Y,N,Total loss; broke up
Underwriter,,Kermit &Carew,Passenger liner,1850,"New York, NY",4/18/1854,1854,4,18,Squan Inlet S 4.5 mi,40.02833,-74.05,Stranded in storm,Wood,US,103,37.2,30.5,1168,,"New York, NY","Liverpool, England","New York, NY",Bird,,640,0,"$85,000","$150,000",,,A,N,N,Refloated
Vista,,,Schooner,,,1/2/1854,1854,1,2,Brigantine Beach South End,39.38341,-74.38831,Stranded,,,,,,,,"Belfast, Ireland","Philadelphia, PA","New York, NY",Hall,5,,,,,Dried fish,,A,,N ,
Wanderer (1854),,,Schooner,,,12/1854,1854,12,,Sandy Hook,,,Capsized and grounded,,,,,,,,,,,,,,,,,,,Y,Y,N,News boat
William F Baird,,,Schooner,,,2/24/1854,1854,2,24,Highland Lights NNW 10 mi,,,"Collision w/ ""Phoenix""",,,,,,,,,"Boston, MA","Philadelphia, PA",Crowell,7,,0,,,,,Y,Y,N,Total loss
William Layton,,,Ship,,,5/18/1854,1854,5,18,Squan Inlet S 5.5 mi,40-01-42 N,74-03-00 W,Stranded,Wood,,,,,,,,"Antwerp, Belgium","New York, NY",Carpenter,,490,0,,,"Lead, zinc, glass, hardware",,N,N,N,
Angelina,,,Brig,,,9/1853,1853,9,,Highlands SE 12 mi,,,Capsized,,,,,,,,"Boston, MA","Boston, MA","Philadelphia, PA",Warren,,,,,,,,Y,Y,N,Sank; Total loss
Ann W Baker,,,Schooner,,,5/17/1853,1853,5,17,Five Fathom Bank Lightship N 2 mi,,,Sank,,,,,,60,,,"Elizabeth City, NC","New York, NY",,,,,,,Fish,,Y,Y,N ,
Benjamin,,,,,,6/21/1853,1853,6,21,Brandywine Light,,,Grounded,,,,,,,,,,,Werrell,,,,,,Coal,,,,N,
Benjamin Douglas,,,Schooner,,,12/16/1853,1853,12,16,Absecon Beach,,,,,,,,,,,,"Middletown, NJ","Philadelphia, PA",,,,,,,,,,,N,
Champion (1853),,,Schooner,,,5/18/1853,1853,5,18,Marcus Hook,,,Sank,,,,,,,,,"Lewes, DE","Philadelphia, PA",,,,,,,,,,,Y,
Clyde (1853),,,Ship,,,3/29/1853,1853,3,29,Sandy Hook Inside,40.46466,-74.02210,Wrecked,,England,,,,,,,"New Castle, England","New York, NY",,16,,,,,Coal,,A,Y,N,Total loss; First voyage
Cornelius Grinnell (1853),,"Grinnell, Miniturn & Co",Packet ship,1850,"East Boston, MA",1/14/1853,1853,1,14,Squan Beach,,,Stranded,,US,172.5,37.2,30,979.6,,"Boston, MA","London, England","New York, NY",Fletcher,,234,0,,,General,Squan Beach #9,N,N,Y,All saved by LSS crew w/ lifecar; Refloated
Daniel W Baker,,,Schooner,,,5/17/1853,1853,5,17,Cape May,,,Foundered,,,,,,,,"Portsmouth, VA",,,,5,,0,,,,,Y,Y,N,"Crew rescued by ""Banquet"""
Egremont,,,Brig,,,4/17/1853,1853,4,17,Squan Inlet S 1.5 mi,,,Stranded,,,,,,,,,"Philadelphia, PA","Boston, MA",,,,0,,,Coal,,N,N,N,
Emeline Caroline,,,Schooner,,,3/4/1853,1853,3,4,Cape May,,,Stranded,,,,,,,,,,"Philadelphia, PA",,,,,,,In ballast,,N,N,N,Refloated
General Cushing,,,Schooner,1851,,1/15/1853,1853,1,15,Absecon Beach,,,Stranded,,US,,,,,,"Newburyport, MA","Newburyport, MA","Baltimore, MD",,,,0,,"$7,880","Apples, Fish, & other",,Y,Y,N ,Total loss; Crew saved
Grand Turk,,,Schooner,,,2/28/1853,1853,2,28,"Monmouth Beach, NJ",,,Grounded,,,,,,,,,"New Orleans, LA","New York, NY",,,,3,,,,,Y,Y,N,Broke up
H S Bradley,,,Bark,,,12/23/1853,1853,12,23,Cape May Brandywine Shoal,,,Stranded & bilged,,,,,,,,,"New Orleans, LA","Philadelphia, PA",,,,,,,,,Y,Y,N,Total loss
Hansa,,,Bark,,,12/3/1853,1853,12,3,Squan Beach,,,Stranded,,Germany,,,,,,"Bremen, Germany","Glasgow, Scotland","New York, NY",Brinkmann,,223,25,,,250 tons pig iron,,N,N,N,Refloated 12/12/1853
Henry Poole,,,Brig,,,11/11/1853,1853,11,11,Absecon,,,Stranded,,England,,,,,,,"Glasgow, Scotland","New York, NY",,,,,,,,,,,N,
James H Braine,,,Schooner,,,1853,1853,,,Absecon Beach,,,Stranded,,,,,,,,"Yarmouth, NS",West Indies,"New York, NY",,,,,,,,,Y,Y,N,Near total loss
Jane Henderson,,,Schooner,,,3/14/1853,1853,3,14,Hereford Inlet,,,Abandoned,,,,,,,,"Port Elizabeth, NJ","Philadelphia, PA","New York, NY",,,,,,,,,Y,Y,N,"Sank; Crew rescued by ""Northern Lights"""
John Willets,,,Schooner,,,1853,1853,,,Absecon beach,,,Stranded,,,,,,,,,"Baltimore, MD","Boston, MA",Robinson,,,1,,,,,Y,Y,N,Total loss
Melissa Ann,,,Brig,,,10/17/1853,1853,10,17,,,,Capsized in gale,,,,,,,,,"Jacksonville, FL","New York, NY",,,,,,,,,Y,Y,N,
Memento (1853),,,Schooner,,,12/4/1853,1853,12,4,"Cape Island, NJ",,,Grounded,,,,,,,,,"Baltimore, MD","New York, NY",Hammond,,,,,,,,,,N,
Nile (1853),,D C Ketcham & Co,Sloop,,,5/18/1853,1853,5,18,Sandy Hook E,,,Stranded in gale,,,,,,,,"New York, NY","Greenbank, NJ","New York, NY",,,,0,,,Glass,,Y,Y,N,Cargo lost; crew saved
Ocean Nymph,,,Schooner,,,4/2/1853,1853,4,2,Highland Lights SE 14 mi,,,"Collision w/ ""Sarah Jane""",,,,,,,,"Gloucester, MA",,,Elwell,,,0,,,,,Y,Y,N,Sank; Total loss
Osprey (1853),,,Brig,,,3/29/1853,1853,3,29,Seven Mile Beach,39.07597,-74.72866,Stranded,,England,,,,,,,"Arecibo, Puerto Rico","Philadelphia, PA",,,,,,,,,A,Y,N,Bilged; Total loss
Rainbow (1853),,,Schooner,,,9/1853,1853,9,,Delaware Breakwater North side,,,Sank,,,,,,,,,"Philadelphia, PA","""An Eastern port """,,,,,,,,,,,N  ,
Sarah Francis #7,,,Pilot schooner,,,1853,1853,,,Sandy Hook,,,Grounded,,US,,,,,,"New York, NY",,Pilot service,,,,,,,,,Y,Y,N,Total loss
Sea Duck,,,Ship,,,4/1853,1853,4,,Long Beach Island,,,Stranded,,,,,,,,,"Havre, France","New York, NY",,,200,0,,,,,,,N,All rescued using surfcar
South Carolina (1853),,,Schooner,,,1/12/1853,1853,1,12,"Indian River, DE  S 4 mi",,,Grounded in gale,,,,,,,,"New Bern, NC","New Bern, NC","New York, NY",Eldridge,,,,,,Corn,,Y,Y,N,Total loss
Ticonderoga,,,Ship,,,~1853,1853,,,New Jersey coast,,,Wrecked,,,,,,,,,,,,16,,16,,,,,,,N,
Village Bell,,,Schooner,,,12/22/1853,1853,12,22,Absecon Beach,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,
Washington (1853),,,Pilot schooner,,,1/14/1853,1853,1,14,Squan Beach,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,
Western World,,D & A Kingsland,Packet ship,1845,"Portsmouth, NH",10/22/1853,1853,10,22,Squan Beach E 400yds,40.15000,-74.01557,Grounded in gale,Wood,US,183,40,20,1354,,"New York, NY","Liverpool, England","New York, NY",John G Moses,,600,0,,,"China, cowboy spurs, misc",,A,,Y,
A Field,A D Field,,Schooner,,,2/10/1852,1852,2,10,Deal Beach,,,Stranded,,,,,,,,,"Cardenas, Mexico","New York, NY",,10,,1,,,,,,,N,"aka ""A D Field"""
Abby,,,Schooner,,,3/4/1853,1852,3,4,Cape May,,,Stranded; bilged in storm,,,,,,,,,,,,,,,,,In ballast,,Y,Y,N,Total loss
Albano,,,Brig,,,7/17/1852,1852,7,17,Egg Harbor SE 25 mi,,,Capsized in squall,,,,,,,,"Waldoboro, ME","New Haven, CT","Philadelphia, PA",,,,,,,,,,,N,
Albert Vinal,,,Schooner,,,12/18/1852,1852,12,18,Sandy Hook E 40 mi,,,Foundered in gale,,,,,,,,"Portland, ME","Philadelphia, PA","Portland, ME",Anderson,,,,,,,,Y,Y,N,Total loss
Ann Elizabeth (1852),,,Schooner,,,3/5/1852,1852,3,5,Hereford Inlet bar,,,Stranded & bilged,,,,,,,,,,,Harding,,,0,,,50 bbls flour,,Y,Y,N,Total loss
